"","status","family","pval","qval","genes","num_cells_expressed"
"Bcat1","OK","negbinomial.size",1.12211292510983e-07,1.54162180952997e-06,"Bcat1",74
"Etnk1","OK","negbinomial.size",0.00195048482728297,0.0115166267049123,"Etnk1",169
"Ttll3","OK","negbinomial.size",0.00607926063482508,0.0304011241579754,"Ttll3",374
"Itpr2","OK","negbinomial.size",1.43832890919945e-23,8.76338367286158e-22,"Itpr2",158
"Sec13","OK","negbinomial.size",0.00032617732740363,0.00241700849190046,"Sec13",296
"Ccdc91","OK","negbinomial.size",0.0064837529946775,0.0320967212400275,"Ccdc91",114
"Tmtc1","OK","negbinomial.size",0.00118035959236183,0.00749959454854781,"Tmtc1",20
"Dennd5b","OK","negbinomial.size",2.99159230802592e-08,4.43881908103798e-07,"Dennd5b",208
"Cand2","OK","negbinomial.size",0.00913522947219315,0.042110202523136,"Cand2",159
"Mbd4","OK","negbinomial.size",0.0044476924571277,0.0232625734113152,"Mbd4",94
"Ift122","OK","negbinomial.size",0.00712596777153568,0.0346463783865104,"Ift122",134
"Ltbr","OK","negbinomial.size",0.00895209387705054,0.0414617527180476,"Ltbr",106
"Cd9","OK","negbinomial.size",0.00124183014164348,0.00781535017285808,"Cd9",83
"Rad51ap1","OK","negbinomial.size",0.00390821428830548,0.0208064156201387,"Rad51ap1",86
"Tspan9","OK","negbinomial.size",0.00824571993239213,0.038775175163061,"Tspan9",148
"Fkbp4","OK","negbinomial.size",0.00448114000154065,0.0234080259235886,"Fkbp4",370
"Zik1","OK","negbinomial.size",0.00813849312936353,0.0384285568504429,"Zik1",74
"Qpctl","OK","negbinomial.size",0.00902616251001504,0.041729458055832,"Qpctl",65
"Pglyrp1","OK","negbinomial.size",2.39867681434303e-44,4.28689494373184e-42,"Pglyrp1",64
"Zfp273","OK","negbinomial.size",0.00556295443987255,0.0281993494355597,"Zfp273",25
"Oca2","OK","negbinomial.size",5.09813454915171e-08,7.3231973728817e-07,"Oca2",19
"Siglecg","OK","negbinomial.size",5.50132353546053e-21,2.71026142301673e-19,"Siglecg",30
"Zfp719","OK","negbinomial.size",0.0102994046485997,0.0462099222440907,"Zfp719",62
"Zdhhc13","OK","negbinomial.size",0.00995272797809341,0.0449565404366166,"Zdhhc13",104
