"","Cluster","Gene_Clusters","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1476","d","d","GO:0019395","fatty acid oxidation","13/344","98/23210",2.30048449415851e-09,5.28934213514646e-06,4.52251193752919e-06,"18984/11370/13177/11363/13167/16922/56357/52430/80911/11666/231086/12894/14077",13
"1477","d","d","GO:0034440","lipid oxidation","13/344","100/23210",2.96404714774248e-09,5.28934213514646e-06,4.52251193752919e-06,"18984/11370/13177/11363/13167/16922/56357/52430/80911/11666/231086/12894/14077",13
"1479","d","d","GO:0006749","glutathione metabolic process","10/344","59/23210",1.48129762455064e-08,1.29893909653301e-05,1.11062348021683e-05,"15926/14775/68312/56615/18024/75475/14863/14862/626327/20655",10
"1492","d","d","GO:0062012","regulation of small molecule metabolic process","19/344","359/23210",2.00347520242245e-06,0.000420611941026218,0.000359633102899237,"18984/19062/11370/107029/11363/13167/269523/11666/72999/20848/68041/16867/12894/14077/16548/20845/17436/20655/235623",19
"1494","d","d","GO:0009611","response to wounding","22/344","495/23210",5.46080789750622e-06,0.00102576965190525,0.000877057179771221,"12568/11891/230824/68750/223255/14775/26400/12576/18024/18015/18753/18810/14066/18438/12306/20971/26401/20655/14726/14609/16476/80748",22
"1496","d","d","GO:0032387","negative regulation of intracellular transport","8/344","68/23210",7.31913568204622e-06,0.00124390453567728,0.00106356763620311,"19062/116891/54198/12568/215449/18015/16165/56715",8
"1498","d","d","GO:0048525","negative regulation of viral process","9/344","97/23210",1.41322684157486e-05,0.00219295939025247,0.00187503185982862,"19062/54198/30960/78781/69550/22670/20846/16476/75339",9
"1512","d","d","GO:1904950","negative regulation of establishment of protein localization","12/344","209/23210",7.19626557782508e-05,0.00694147887763722,0.00593512771269272,"19062/116891/54198/110213/15502/12568/18015/217344/17470/65113/22228/56715",12
"1515","d","d","GO:0014044","Schwann cell development","5/344","33/23210",0.000117217599209016,0.0104587402894245,0.0089424689501826,"12568/225608/18015/13138/20655",5
"1519","d","d","GO:0009266","response to temperature stimulus","10/344","163/23210",0.000166858780531909,0.0132544885378068,0.0113328994620643,"11370/11363/15502/269523/26400/18015/21804/22228/20655/72759",10
