"","Cluster","cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"871","C2","C2","GO:0033674","positive regulation of kinase activity","44/1012","475/23174",2.44271065130184e-06,7.59842005555846e-05,5.2977380802448e-05,"11421/11549/11606/75547/11600/381290/69183/108686/12520/18214/13649/13653/13731/224014/14600/15559/16000/16202/404710/16367/109700/16416/14745/75104/19882/211323/27206/18189/18213/241656/242202/18595/18596/18640/19122/19360/215653/26564/21802/21808/21809/21813/22418/24136",44
"878","C2","C2","GO:0006836","neurotransmitter transport","32/1012","298/23174",2.79773238071401e-06,8.35663586671223e-05,5.82637807993192e-05,"11549/98660/23821/109880/12298/12361/13617/111173/238988/26431/14758/108030/244049/17260/14299/192167/18189/18191/18212/18627/74136/20512/63959/100434/67847/20698/207227/71709/27204/20979/208898/22433",32
"908","C2","C2","GO:1905809","negative regulation of synapse organization","8/1012","25/23174",7.16241644900324e-06,0.000182780695497136,0.000127437578310829,"103967/14360/192167/245537/19122/19211/19242/22418",8
"923","C2","C2","GO:1905048","regulation of metallopeptidase activity","6/1012","13/23174",9.00313820639153e-06,0.000214160622402716,0.000149316157345346,"69538/233489/53614/20848/21858/21859",6
"927","C2","C2","GO:0070208","protein heterotrimerization","7/1012","19/23174",9.41793056043008e-06,0.000220044715360804,0.000153418639585579,"56745/69183/12842/12843/12833/12834/68553",7
"961","C2","C2","GO:1905475","regulation of protein localization to membrane","22/1012","186/23174",2.21513082789165e-05,0.000449611689661252,0.000313476348007264,"11735/11835/12297/12520/66455/13649/13837/14360/14733/227753/16412/16971/17387/72293/18189/233489/98496/226849/19122/19242/20742/69660",22
"978","C2","C2","GO:0198738","cell-cell signaling by wnt","38/1012","427/23174",2.85462406839305e-05,0.000543723142302257,0.000379092334330458,"11352/72345/75723/12316/83675/26992/12842/242939/50781/13607/13649/13653/56484/20378/14369/14632/14634/16202/16469/16971/19882/29811/72293/27412/106042/19211/207181/53614/26564/20187/20356/20377/20583/66042/72043/21833/22418/24136",38
"989","C2","C2","GO:0110110","positive regulation of animal organ morphogenesis","15/1012","101/23174",3.19257744561309e-05,0.000584786746745226,0.000407722525788548,"11477/11606/11609/11835/14595/12490/13617/13805/16438/18053/18595/19242/21808/21813/22433",15
"1022","C2","C2","GO:0099084","postsynaptic specialization organization","9/1012","41/23174",5.52545235673078e-05,0.000907728219979179,0.000632882404807124,"54725/16180/192167/245537/18189/18213/94190/19211/19280",9
"1031","C2","C2","GO:1905207","regulation of cardiocyte differentiation","11/1012","61/23174",5.87418928982177e-05,0.00093862045886301,0.000654420960075489,"12818/13649/14369/16000/17260/214384/14815/211323/106042/21808/106628",11
"1042","C2","C2","GO:0098693","regulation of synaptic vesicle cycle","18/1012","146/23174",6.99378629411032e-05,0.00108136278082759,0.00075394315405858,"11549/23821/109880/12298/12361/103967/111173/26431/14299/192167/245537/18189/18191/233489/19056/19211/207227/20979",18
"1048","C2","C2","GO:0009612","response to mechanical stimulus","20/1012","174/23174",7.72043112091897e-05,0.00117301463591535,0.000817844270247638,"11352/98660/23821/12297/12798/12814/12842/20315/13617/14281/14360/16000/16477/17390/18189/234839/19242/19712/20512/239250",20
"1090","C2","C2","GO:0006112","energy reserve metabolic process","13/1012","88/23174",0.000111785914062138,0.0015119661026694,0.00105416656878444,"69183/18605/14683/16000/16195/16367/16847/269224/18627/18679/53412/20203/52331",13
"1103","C2","C2","GO:0110020","regulation of actomyosin structure organization","14/1012","101/23174",0.000124746562458279,0.00163539321407275,0.00114022189389612,"75547/69710/11856/109880/16423/235431/50768/242553/14745/17260/18186/21809/56363/22003",14
"1110","C2","C2","GO:1905477","positive regulation of protein localization to membrane","14/1012","102/23174",0.00013887477633482,0.00178937426272586,0.0012475799050512,"11735/12297/12520/66455/13649/13837/14360/16412/16971/72293/18189/19122/19242/20742",14
"1115","C2","C2","GO:1905879","regulation of oogenesis","5/1012","13/23174",0.000150894228692198,0.00192070450420069,0.00133914541686309,"50915/16000/230103/54611/242202",5
"1123","C2","C2","GO:0098698","postsynaptic specialization assembly","7/1012","28/23174",0.000156775071759244,0.00195764026659939,0.0013648976118657,"16180/192167/245537/18189/18213/19211/19280",7
"1150","C2","C2","GO:0097756","negative regulation of blood vessel diameter","14/1012","106/23174",0.000210127092039411,0.00246062096679067,0.00171558367417181,"11421/11475/11549/11606/98660/12291/58861/13617/13618/13649/15559/17390/242202/18627",14
"1153","C2","C2","GO:0099003","vesicle-mediated transport in synapse","24/1012","246/23174",0.000211273660484938,0.00246062096679067,0.00171558367417181,"11549/108012/23821/109880/12298/12361/103967/111173/238988/26431/16416/108030/26414/14299/192167/245537/18191/94190/233489/19056/207227/71709/20979/208898",24
"1159","C2","C2","GO:0042362","fat-soluble vitamin biosynthetic process","5/1012","14/23174",0.000226295291269197,0.00259745490437155,0.00181098644955032,"104086/18830/20613/20583/27973",5
"1165","C2","C2","GO:0055074","calcium ion homeostasis","39/1012","490/23174",0.000243414267070414,0.00276377711012778,0.00192694890971736,"11352/224129/11549/11606/11749/98660/53313/381290/56745/12291/12297/12298/13617/13618/111173/14360/14683/14806/64209/15559/16195/16416/16438/16527/14745/78134/16971/53322/18595/19122/20203/24052/20855/27060/21808/21817/21982/74166/22418",39
"1182","C2","C2","GO:0099173","postsynapse organization","20/1012","191/23174",0.000275443813724555,0.0030059241608405,0.00209577764545451,"11352/109711/54725/12361/103967/14360/16180/29811/192167/245537/18186/18187/18189/18213/94190/19122/19211/19242/19280/22418",20
"1221","C2","C2","GO:0110053","regulation of actin filament organization","24/1012","254/23174",0.00034005851677167,0.00344448482209762,0.0024015490424885,"242894/69710/11856/109880/16423/104445/104252/235431/12386/50768/192176/227753/242553/14745/50918/18186/20356/20563/20741/20742/21809/56363/50875/22003",24
"1239","C2","C2","GO:0019216","regulation of lipid metabolic process","29/1012","336/23174",0.000403641373320951,0.0039514761630321,0.00275503138665795,"11606/57875/14705/69183/12520/12912/70461/67800/50781/13653/226144/15559/16000/29817/16367/226856/14815/53322/18595/18596/226849/71660/19712/20613/20583/20698/20787/21833/56490",29
"1243","C2","C2","GO:0062012","regulation of small molecule metabolic process","30/1012","353/23174",0.000419313910560001,0.00407455310131964,0.00284084256556071,"11606/381290/56745/69183/81799/12534/67800/50781/13653/18605/226144/16000/16010/16011/16367/16847/226856/14815/53322/269224/18640/98496/19712/58246/20613/20583/20787/20848/394436/56490",30
"1253","C2","C2","GO:0062009","secondary palate development","6/1012","24/23174",0.000467189125994535,0.00445218747750914,0.00310413519751846,"434215/21808/21809/21813/21814/22418",6
"1265","C2","C2","GO:2000241","regulation of reproductive process","18/1012","171/23174",0.000511867778361807,0.00477955401571584,0.00333238030149726,"11835/12316/14595/13618/50915/54486/16000/230103/27206/54611/242202/18792/20317/20377/20613/71709/22137/22418",18
"1280","C2","C2","GO:0099068","postsynapse assembly","7/1012","34/23174",0.00056672345165958,0.00515443803697995,0.0035937553427038,"16180/192167/245537/18189/18213/19211/19280",7
"1303","C2","C2","GO:0097746","regulation of blood vessel diameter","17/1012","160/23174",0.000650544653107064,0.00569037144988991,0.00396741655507277,"11421/11475/11549/11606/11609/98660/12291/58861/13617/13618/13649/15559/109700/17390/17540/242202/18627",17
"1307","C2","C2","GO:1905517","macrophage migration","9/1012","56/23174",0.000664879763330683,0.0057773106046767,0.00402803190242269,"12520/12527/13618/100952/17387/102103/445007/71660/26564",9
"1309","C2","C2","GO:0009187","cyclic nucleotide metabolic process","7/1012","35/23174",0.00068198506674427,0.00588702051867755,0.00410452338156347,"104111/224129/11513/12298/18160/230103/242202",7
"1326","C2","C2","GO:0099172","presynapse organization","9/1012","57/23174",0.000759407158422552,0.00639776190997974,0.00446062031988415,"54725/16180/192167/245537/18189/18213/233489/19211/19280",9
"1333","C2","C2","GO:0006898","receptor-mediated endocytosis","21/1012","223/23174",0.000811529161736789,0.00675824642456156,0.00471195579834874,"11600/54598/12512/12520/12527/66102/103967/13649/215114/15530/15559/66141/16401/16412/16416/16971/245537/94190/233489/24071/21813",21
"1336","C2","C2","GO:1905209","positive regulation of cardiocyte differentiation","7/1012","36/23174",0.000815051975113569,0.00675824642456156,0.00471195579834874,"16000/17260/214384/14815/211323/21808/106628",7
"1352","C2","C2","GO:0035733","hepatic stellate cell activation","4/1012","11/23174",0.000932320284099634,0.00749420142738804,0.00522507521203111,"11475/114886/214384/18596",4
"1361","C2","C2","GO:0099174","regulation of presynapse organization","7/1012","37/23174",0.000967796545064523,0.00771306525003861,0.00537767051462901,"16180/192167/245537/18189/18213/233489/19280",7
