	Top	p.value	FDR	logFC.2	logFC.3	logFC.4	logFC.5
Tmem255a	7928	0.387274178955764	0.686176100581461	0.140731348150706	0.119136357153066	0.156675739239864	0.166896376355845
4833422C13Rik	7930	0.210637976035475	0.444863065806919	-0.451099152187791	0.0302937819177518	-0.132578274898344	0.042474750233434
ENSMUSG00000098374	7931	0.210732975677332	0.445024184028947	-0.485657140593616	-0.357807497334144	0.0274788578288528	-0.371063786100585
Arfgap2	7932	0.210817094718359	0.445162298116553	-0.934443715536539	-0.410958987329226	0.17253335450895	-0.358085722743964
ENSMUSG00000090067	7933	0.459139546241987	0.766147932283654	-0.0602984989216646	0.0780267983805333	-0.031496918784392	0.0411678770220149
ENSMUSG00000107459	7933	0.863461463077513	1	-0.0604138238814285	0.0378907840821196	-0.0249119358016096	0.0922359967241862
Wfs1	7934	0.331652676627624	0.619420552743279	0.0881241697733246	-0.0601674535424088	0.093534143885696	-0.050974011371395
Phlda1	7934	0.52213625825251	0.81744405072214	0.254306181810352	-0.126896762765966	0.407011224865717	-0.584419104973617
2510039O18Rik	7936	0.211782092091472	0.446724035140708	-0.970412218042827	0.427086703914669	-0.181761736246679	-0.408447092409587
ENSMUSG00000083171	7937	0.212183605936442	0.447451915231991	-0.316190138293254	-0.296862278619625	-0.101854163775468	-0.205932069294904
ENSMUSG00000105789	7937	0.460377704526729	0.767608170692596	0.219069593868664	0.2864518418232	-0.00831181880076141	0.200840737455568
Tmem41b	7938	0.212216521270154	0.447481649558301	-0.904558613221744	-0.872424108151515	-0.929101842133154	-0.554223034793519
ENSMUSG00000083100	7939	0.212253365877225	0.447510571137142	-0.368897350476315	-0.229293486659085	-0.0751641284395536	-0.273716866152357
Glud1	7939	0.461172723515865	0.768556575108809	-0.348884065145986	-0.562511882408298	-0.0317827397576007	-0.465622492480824
Mir8091	7939	0.543443011329005	0.81744405072214	0.019729053096452	0.0228117072584518	0.0174530140114197	-0.209875598513719
ENSMUSG00000081168	7940	0.212267870033137	0.447510571137142	-0.112044869000809	-0.0471045057502065	-0.0218285479019872	0.0153322594542854
Kif21b	7941	0.461440998736459	0.768725111758738	-0.0850371643384344	0.849584841431119	-0.0901641146824289	-0.502587861770717
Prox2	7942	0.644344913295591	0.87293962249553	-0.24186084782484	-0.211794807057003	0.0869113000533932	-0.48465782654675
Slc12a6_ENSMUSG00000027130	7943	0.212420017890589	0.447712272730581	0.565223258075421	0.214861227989098	0.468754337435789	-0.0714608796461451
ENSMUSG00000102248	7944	0.212546443859963	0.447859668142244	-0.330311131704465	-0.2363501572661	-0.29931367429	0.189638517906245
Ecm2	7944	0.331652695772103	0.619420552743279	-0.162592014630744	-0.450925852162632	0.0739904633851604	-0.214099231511177
ENSMUSG00000082269	7946	0.461775052875207	0.769021502873121	-0.114828796214128	-0.0129277031293598	-0.00183522821361475	-0.229463081517087
ENSMUSG00000105607	7947	0.21309952144917	0.448584747777367	0.291446843996502	-0.185192118852438	-0.322351657486213	-0.0438886370951249
ENSMUSG00000097784	7947	0.331652702205354	0.619420552743279	0.0953464251075866	-0.158620162154205	0.102070487140992	-0.376654252016534
ENSMUSG00000082436	7948	0.213116892954483	0.448584747777367	-0.317507763973815	0.060615279512905	-0.165006651192942	0.0258537728560849
Gtdc1	7949	0.462764139259705	0.770237212122161	-0.114439846910825	0.410825996369412	-0.37432261741899	-0.956625251857628
Mrpl53	7950	0.213389483502528	0.448922811669222	-0.211656851403835	0.0630379950426737	0.0829010111566573	0.0883090032024641
Serf2	7950	0.231864102685513	0.473829176333525	0.361150269066868	0.412680230277414	0.209279013667898	0.33673412593536
1700029I15Rik	7950	0.331652706337274	0.619420552743279	0.0788427976041748	-0.132027667399371	0.0836970538355183	0.0291312590924747
Slc35a5	7950	0.896742975926948	1	-0.301950912692851	-0.178299684690138	-0.0482225657749596	-1.01901644494602
Elac1	7951	0.2135529268823	0.449184510483925	0.639214529389284	-0.122463695836872	0.259178276084262	0.297163462160994
ENSMUSG00000078370	7952	0.232137059302829	0.474223989125509	-0.283559057321146	-0.261565681945091	-0.168855680292147	-0.0386361980059977
